Cement (kg/m³),Water (kg/m³),Coarse Aggregate (kg/m³),Fine Aggregate (kg/m³),Blast Furnace Slag (kg/m³),Fly Ash (kg/m³),Superplasticizer (kg/m³),Age (day),Compressive strength (MPa)
475,228,932,594,0,0,0,365,41.93
198.6,192,978.4,825.5,132.4,0,0,3,9.13
304,228,932,670,76,0,0,180,50.95
332.5,228,932,594,142.5,0,0,28,33.02
304,228,932,670,76,0,0,270,54.38
266,228,932,670,114,0,0,270,51.73
310,192,971,850.6,0,0,0,3,9.87
190,228,932,670,190,0,0,270,50.66
266,228,932,670,114,0,0,180,48.7
342,228,932,670,38,0,0,270,55.06
139.6,192,1047,806.9,209.4,0,0,360,44.7
332.5,228,932,594,142.5,0,0,7,30.28
190,228,932,670,190,0,0,28,40.86
485,146,1120,800,0,0,0,28,71.99
374,170.1,926.1,756.7,189.2,0,10.1,3,34.4
313.3,175.5,1046.9,611.8,262.2,0,8.6,3,28.8
425,153.5,852.1,887.1,106.3,0,16.5,3,33.4
425,151.4,936,803.7,106.3,0,18.6,3,36.3
375,126.6,852.1,992.6,93.8,0,23.4,3,29
475,181.1,852.1,781.5,118.8,0,8.9,3,37.8
469,137.8,852.1,840.5,117.2,0,32.2,3,40.2
425,153.5,852.1,887.1,106.3,0,16.5,3,33.4
388.6,157.9,852.1,925.7,97.1,0,12.1,3,28.1
531.3,141.8,852.1,893.7,0,0,28.2,3,41.3
425,153.5,852.1,887.1,106.3,0,16.5,3,33.4
318.8,155.7,852.1,880.4,212.5,0,14.3,3,25.2
401.8,147.4,946.8,852.1,94.7,0,11.4,3,41.1
362.6,164.9,944.7,755.8,189,0,11.6,3,35.3
323.7,183.8,942.7,659.9,282.8,0,10.3,3,28.3
379.5,153.9,1134.3,605,151.2,0,15.9,3,28.6
362.6,164.9,944.7,755.8,189,0,11.6,3,35.3
286.3,144.7,1004.6,803.7,200.9,0,11.2,3,24.4
362.6,164.9,944.7,755.8,189,0,11.6,3,35.3
439,186,884.9,707.9,177,0,11.1,3,39.3
389.9,145.9,944.7,755.8,189,0,22,3,40.6
362.6,164.9,944.7,755.8,189,0,11.6,3,35.3
337.9,174.9,944.7,755.8,189,0,9.5,3,24.1
374,170.1,926.1,756.7,189.2,0,10.1,7,46.2
313.3,175.5,1046.9,611.8,262.2,0,8.6,7,42.8
425,153.5,852.1,887.1,106.3,0,16.5,7,49.2
425,151.4,936,803.7,106.3,0,18.6,7,46.8
375,126.6,852.1,992.6,93.8,0,23.4,7,45.7
475,181.1,852.1,781.5,118.8,0,8.9,7,55.6
469,137.8,852.1,840.5,117.2,0,32.2,7,54.9
425,153.5,852.1,887.1,106.3,0,16.5,7,49.2
388.6,157.9,852.1,925.7,97.1,0,12.1,7,34.9
531.3,141.8,852.1,893.7,0,0,28.2,7,46.9
425,153.5,852.1,887.1,106.3,0,16.5,7,49.2
318.8,155.7,852.1,880.4,212.5,0,14.3,7,33.4
401.8,147.4,946.8,852.1,94.7,0,11.4,7,54.1
362.6,164.9,944.7,755.8,189,0,11.6,7,55.9
323.7,183.8,942.7,659.9,282.8,0,10.3,7,49.8
379.5,153.9,1134.3,605,151.2,0,15.9,7,47.1
362.6,164.9,944.7,755.8,189,0,11.6,7,55.9
286.3,144.7,1004.6,803.7,200.9,0,11.2,7,38
362.6,164.9,944.7,755.8,189,0,11.6,7,55.9
439,186,884.9,707.9,177,0,11.1,7,56.1
389.9,145.9,944.7,755.8,189,0,22,7,59.09
362.6,164.9,944.7,755.8,189,0,11.6,7,22.9
337.9,174.9,944.7,755.8,189,0,9.5,7,35.1
374,170.1,926.1,756.7,189.2,0,10.1,28,61.09
313.3,175.5,1046.9,611.8,262.2,0,8.6,28,59.8
425,153.5,852.1,887.1,106.3,0,16.5,28,60.29
425,151.4,936,803.7,106.3,0,18.6,28,61.8
375,126.6,852.1,992.6,93.8,0,23.4,28,56.7
475,181.1,852.1,781.5,118.8,0,8.9,28,68.3
469,137.8,852.1,840.5,117.2,0,32.2,28,66.9
425,153.5,852.1,887.1,106.3,0,16.5,28,60.29
388.6,157.9,852.1,925.7,97.1,0,12.1,28,50.7
531.3,141.8,852.1,893.7,0,0,28.2,28,56.4
425,153.5,852.1,887.1,106.3,0,16.5,28,60.29
318.8,155.7,852.1,880.4,212.5,0,14.3,28,55.5
401.8,147.4,946.8,852.1,94.7,0,11.4,28,68.5
362.6,164.9,944.7,755.8,189,0,11.6,28,71.3
323.7,183.8,942.7,659.9,282.8,0,10.3,28,74.7
379.5,153.9,1134.3,605,151.2,0,15.9,28,52.2
362.6,164.9,944.7,755.8,189,0,11.6,28,71.3
286.3,144.7,1004.6,803.7,200.9,0,11.2,28,67.7
362.6,164.9,944.7,755.8,189,0,11.6,28,71.3
439,186,884.9,707.9,177,0,11.1,28,66
389.9,145.9,944.7,755.8,189,0,22,28,74.5
362.6,164.9,944.7,755.8,189,0,11.6,28,71.3
337.9,174.9,944.7,755.8,189,0,9.5,28,49.9
374,170.1,926.1,756.7,189.2,0,10.1,56,63.4
313.3,175.5,1046.9,611.8,262.2,0,8.6,56,64.9
425,153.5,852.1,887.1,106.3,0,16.5,56,64.3
425,151.4,936,803.7,106.3,0,18.6,56,64.9
375,126.6,852.1,992.6,93.8,0,23.4,56,60.2
475,181.1,852.1,781.5,118.8,0,8.9,56,72.3
469,137.8,852.1,840.5,117.2,0,32.2,56,69.3
425,153.5,852.1,887.1,106.3,0,16.5,56,64.3
388.6,157.9,852.1,925.7,97.1,0,12.1,56,55.2
531.3,141.8,852.1,893.7,0,0,28.2,56,58.8
425,153.5,852.1,887.1,106.3,0,16.5,56,64.3
318.8,155.7,852.1,880.4,212.5,0,14.3,56,66.1
401.8,147.4,946.8,852.1,94.7,0,11.4,56,73.7
362.6,164.9,944.7,755.8,189,0,11.6,56,77.3
323.7,183.8,942.7,659.9,282.8,0,10.3,56,80.2
379.5,153.9,1134.3,605,151.2,0,15.9,56,54.9
362.6,164.9,944.7,755.8,189,0,11.6,56,77.3
286.3,144.7,1004.6,803.7,200.9,0,11.2,56,72.99
362.6,164.9,944.7,755.8,189,0,11.6,56,77.3
439,186,884.9,707.9,177,0,11.1,56,71.7
389.9,145.9,944.7,755.8,189,0,22,56,79.4
362.6,164.9,944.7,755.8,189,0,11.6,56,77.3
337.9,174.9,944.7,755.8,189,0,9.5,56,59.89
374,170.1,926.1,756.7,189.2,0,10.1,91,64.9
313.3,175.5,1046.9,611.8,262.2,0,8.6,91,66.6
425,153.5,852.1,887.1,106.3,0,16.5,91,65.2
425,151.4,936,803.7,106.3,0,18.6,91,66.7
375,126.6,852.1,992.6,93.8,0,23.4,91,62.5
475,181.1,852.1,781.5,118.8,0,8.9,91,74.19
469,137.8,852.1,840.5,117.2,0,32.2,91,70.7
425,153.5,852.1,887.1,106.3,0,16.5,91,65.2
388.6,157.9,852.1,925.7,97.1,0,12.1,91,57.6
531.3,141.8,852.1,893.7,0,0,28.2,91,59.2
425,153.5,852.1,887.1,106.3,0,16.5,91,65.2
318.8,155.7,852.1,880.4,212.5,0,14.3,91,68.1
401.8,147.4,946.8,852.1,94.7,0,11.4,91,75.5
362.6,164.9,944.7,755.8,189,0,11.6,91,79.3
379.5,153.9,1134.3,605,151.2,0,15.9,91,56.5
362.6,164.9,944.7,755.8,189,0,11.6,91,79.3
286.3,144.7,1004.6,803.7,200.9,0,11.2,91,76.8
362.6,164.9,944.7,755.8,189,0,11.6,91,79.3
439,186,884.9,707.9,177,0,11.1,91,73.3
389.9,145.9,944.7,755.8,189,0,22,91,82.6
362.6,164.9,944.7,755.8,189,0,11.6,91,79.3
337.9,174.9,944.7,755.8,189,0,9.5,91,67.8
222.4,189.3,967.1,870.3,0,96.7,4.5,3,11.58
222.4,189.3,967.1,870.3,0,96.7,4.5,14,24.45
222.4,189.3,967.1,870.3,0,96.7,4.5,28,24.89
222.4,189.3,967.1,870.3,0,96.7,4.5,56,29.45
222.4,189.3,967.1,870.3,0,96.7,4.5,100,40.71
233.8,197.9,947,852.2,0,94.6,4.6,3,10.38
233.8,197.9,947,852.2,0,94.6,4.6,14,22.14
233.8,197.9,947,852.2,0,94.6,4.6,28,22.84
233.8,197.9,947,852.2,0,94.6,4.6,56,27.66
233.8,197.9,947,852.2,0,94.6,4.6,100,34.56
194.7,165.6,1006.4,905.9,0,100.5,7.5,3,12.45
194.7,165.6,1006.4,905.9,0,100.5,7.5,14,24.99
194.7,165.6,1006.4,905.9,0,100.5,7.5,28,25.72
194.7,165.6,1006.4,905.9,0,100.5,7.5,56,33.96
194.7,165.6,1006.4,905.9,0,100.5,7.5,100,37.34
190.7,162.1,1090,804,0,125.4,7.8,3,15.04
190.7,162.1,1090,804,0,125.4,7.8,14,21.06
190.7,162.1,1090,804,0,125.4,7.8,28,26.4
190.7,162.1,1090,804,0,125.4,7.8,56,35.34
190.7,162.1,1090,804,0,125.4,7.8,100,40.57
212.1,180.3,1057.6,779.3,0,121.6,5.7,3,12.47
212.1,180.3,1057.6,779.3,0,121.6,5.7,14,20.92
212.1,180.3,1057.6,779.3,0,121.6,5.7,28,24.9
212.1,180.3,1057.6,779.3,0,121.6,5.7,56,34.2
212.1,180.3,1057.6,779.3,0,121.6,5.7,100,39.61
230,195.5,1029.4,758.6,0,118.3,4.6,3,10.03
230,195.5,1029.4,758.6,0,118.3,4.6,14,20.08
230,195.5,1029.4,758.6,0,118.3,4.6,28,24.48
230,195.5,1029.4,758.6,0,118.3,4.6,56,31.54
230,195.5,1029.4,758.6,0,118.3,4.6,100,35.34
190.3,161.9,1088.1,802.6,0,125.2,9.9,3,9.45
190.3,161.9,1088.1,802.6,0,125.2,9.9,14,22.72
190.3,161.9,1088.1,802.6,0,125.2,9.9,28,28.47
190.3,161.9,1088.1,802.6,0,125.2,9.9,56,38.56
190.3,161.9,1088.1,802.6,0,125.2,9.9,100,40.39
166.1,176.5,1058.6,780.1,0,163.3,4.5,3,10.76
166.1,176.5,1058.6,780.1,0,163.3,4.5,14,25.48
166.1,176.5,1058.6,780.1,0,163.3,4.5,28,21.54
166.1,176.5,1058.6,780.1,0,163.3,4.5,56,28.63
166.1,176.5,1058.6,780.1,0,163.3,4.5,100,33.54
168,121.8,1058.7,780.1,42.1,163.8,5.7,3,7.75
168,121.8,1058.7,780.1,42.1,163.8,5.7,14,17.82
168,121.8,1058.7,780.1,42.1,163.8,5.7,28,24.24
168,121.8,1058.7,780.1,42.1,163.8,5.7,56,32.85
168,121.8,1058.7,780.1,42.1,163.8,5.7,100,39.23
213.7,181.7,1065.8,785.4,98.1,24.5,6.9,3,18
213.7,181.7,1065.8,785.4,98.1,24.5,6.9,14,30.39
213.7,181.7,1065.8,785.4,98.1,24.5,6.9,28,45.71
213.7,181.7,1065.8,785.4,98.1,24.5,6.9,56,50.77
213.7,181.7,1065.8,785.4,98.1,24.5,6.9,100,53.9
213.8,181.7,1066,785.5,98.1,24.5,6.7,3,13.18
213.8,181.7,1066,785.5,98.1,24.5,6.7,14,17.84
213.8,181.7,1066,785.5,98.1,24.5,6.7,28,40.23
213.8,181.7,1066,785.5,98.1,24.5,6.7,56,47.13
213.8,181.7,1066,785.5,98.1,24.5,6.7,100,49.97
229.7,195.2,1028.1,757.6,0,118.2,6.1,3,13.36
229.7,195.2,1028.1,757.6,0,118.2,6.1,14,22.32
229.7,195.2,1028.1,757.6,0,118.2,6.1,28,24.54
229.7,195.2,1028.1,757.6,0,118.2,6.1,56,31.35
229.7,195.2,1028.1,757.6,0,118.2,6.1,100,40.86
238.1,186.7,949.9,847,0,94.1,7,3,19.93
238.1,186.7,949.9,847,0,94.1,7,14,25.69
238.1,186.7,949.9,847,0,94.1,7,28,30.23
238.1,186.7,949.9,847,0,94.1,7,56,39.59
238.1,186.7,949.9,847,0,94.1,7,100,44.3
250,187.4,956.9,861.2,0,95.7,5.5,3,13.82
250,187.4,956.9,861.2,0,95.7,5.5,14,24.92
250,187.4,956.9,861.2,0,95.7,5.5,28,29.22
250,187.4,956.9,861.2,0,95.7,5.5,56,38.33
250,187.4,956.9,861.2,0,95.7,5.5,100,42.35
212.5,159.3,1007.8,903.6,0,100.4,8.7,3,13.54
212.5,159.3,1007.8,903.6,0,100.4,8.7,14,26.31
212.5,159.3,1007.8,903.6,0,100.4,8.7,28,31.64
212.5,159.3,1007.8,903.6,0,100.4,8.7,56,42.55
212.5,159.3,1007.8,903.6,0,100.4,8.7,100,42.92
212.6,159.4,1003.8,903.8,0,100.4,10.4,3,13.33
212.6,159.4,1003.8,903.8,0,100.4,10.4,14,25.37
212.6,159.4,1003.8,903.8,0,100.4,10.4,28,37.4
212.6,159.4,1003.8,903.8,0,100.4,10.4,56,44.4
212.6,159.4,1003.8,903.8,0,100.4,10.4,100,47.74
212,159,1085.4,799.5,0,124.8,7.8,3,19.52
212,159,1085.4,799.5,0,124.8,7.8,14,31.35
212,159,1085.4,799.5,0,124.8,7.8,28,38.5
212,159,1085.4,799.5,0,124.8,7.8,56,45.08
212,159,1085.4,799.5,0,124.8,7.8,100,47.82
231.8,174,1056.4,778.5,0,121.6,6.7,3,15.44
231.8,174,1056.4,778.5,0,121.6,6.7,14,26.77
231.8,174,1056.4,778.5,0,121.6,6.7,28,33.73
231.8,174,1056.4,778.5,0,121.6,6.7,56,42.7
231.8,174,1056.4,778.5,0,121.6,6.7,100,45.84
251.4,188.5,1028.4,757.7,0,118.3,5.8,3,17.22
251.4,188.5,1028.4,757.7,0,118.3,5.8,14,29.93
251.4,188.5,1028.4,757.7,0,118.3,5.8,28,29.65
251.4,188.5,1028.4,757.7,0,118.3,5.8,56,36.97
251.4,188.5,1028.4,757.7,0,118.3,5.8,100,43.58
251.4,188.5,1028.4,757.7,0,118.3,6.4,3,13.12
251.4,188.5,1028.4,757.7,0,118.3,6.4,14,24.43
251.4,188.5,1028.4,757.7,0,118.3,6.4,28,32.66
251.4,188.5,1028.4,757.7,0,118.3,6.4,56,36.64
251.4,188.5,1028.4,757.7,0,118.3,6.4,100,44.21
181.4,169.6,1055.6,777.8,0,167,7.6,3,13.62
181.4,169.6,1055.6,777.8,0,167,7.6,14,21.6
181.4,169.6,1055.6,777.8,0,167,7.6,28,27.77
181.4,169.6,1055.6,777.8,0,167,7.6,56,35.57
181.4,169.6,1055.6,777.8,0,167,7.6,100,45.37
182,170.2,1059.4,780.7,45.2,122,8.2,3,7.32
182,170.2,1059.4,780.7,45.2,122,8.2,14,21.5
182,170.2,1059.4,780.7,45.2,122,8.2,28,31.27
182,170.2,1059.4,780.7,45.2,122,8.2,56,43.5
182,170.2,1059.4,780.7,45.2,122,8.2,100,48.67
168.9,158.3,1080.8,796.2,42.2,124.3,10.8,3,7.4
168.9,158.3,1080.8,796.2,42.2,124.3,10.8,14,23.51
168.9,158.3,1080.8,796.2,42.2,124.3,10.8,28,31.12
168.9,158.3,1080.8,796.2,42.2,124.3,10.8,56,39.15
168.9,158.3,1080.8,796.2,42.2,124.3,10.8,100,48.15
290.4,168.1,961.2,865,0,96.2,9.4,3,22.5
290.4,168.1,961.2,865,0,96.2,9.4,14,34.67
290.4,168.1,961.2,865,0,96.2,9.4,28,34.74
290.4,168.1,961.2,865,0,96.2,9.4,56,45.08
290.4,168.1,961.2,865,0,96.2,9.4,100,48.97
277.1,160.6,973.9,875.6,0,97.4,11.8,3,23.14
277.1,160.6,973.9,875.6,0,97.4,11.8,14,41.89
277.1,160.6,973.9,875.6,0,97.4,11.8,28,48.28
277.1,160.6,973.9,875.6,0,97.4,11.8,56,51.04
277.1,160.6,973.9,875.6,0,97.4,11.8,100,55.64
295.7,171.5,955.1,859.2,0,95.6,8.9,3,22.95
295.7,171.5,955.1,859.2,0,95.6,8.9,14,35.23
295.7,171.5,955.1,859.2,0,95.6,8.9,28,39.94
295.7,171.5,955.1,859.2,0,95.6,8.9,56,48.72
295.7,171.5,955.1,859.2,0,95.6,8.9,100,52.04
251.8,146.1,1006,899.8,0,99.9,12.4,3,21.02
251.8,146.1,1006,899.8,0,99.9,12.4,14,33.36
251.8,146.1,1006,899.8,0,99.9,12.4,28,33.94
251.8,146.1,1006,899.8,0,99.9,12.4,56,44.14
251.8,146.1,1006,899.8,0,99.9,12.4,100,45.37
249.1,158.1,987.8,889,0,98.8,12.8,3,15.36
249.1,158.1,987.8,889,0,98.8,12.8,14,28.68
249.1,158.1,987.8,889,0,98.8,12.8,28,30.85
249.1,158.1,987.8,889,0,98.8,12.8,56,42.03
249.1,158.1,987.8,889,0,98.8,12.8,100,51.06
252.3,146.3,987.8,889,0,98.8,14.2,3,21.78
252.3,146.3,987.8,889,0,98.8,14.2,14,42.29
252.3,146.3,987.8,889,0,98.8,14.2,28,50.6
252.3,146.3,987.8,889,0,98.8,14.2,56,55.83
252.3,146.3,987.8,889,0,98.8,14.2,100,60.95
246.8,143.3,1086.8,800.9,0,125.1,12,3,23.52
246.8,143.3,1086.8,800.9,0,125.1,12,14,42.22
246.8,143.3,1086.8,800.9,0,125.1,12,28,52.5
246.8,143.3,1086.8,800.9,0,125.1,12,56,60.32
246.8,143.3,1086.8,800.9,0,125.1,12,100,66.42
275.1,159.5,1053.6,777.5,0,121.4,9.9,3,23.8
275.1,159.5,1053.6,777.5,0,121.4,9.9,14,38.77
275.1,159.5,1053.6,777.5,0,121.4,9.9,28,51.33
275.1,159.5,1053.6,777.5,0,121.4,9.9,56,56.85
275.1,159.5,1053.6,777.5,0,121.4,9.9,100,58.61
297.2,174.8,1022.8,753.5,0,117.5,9.5,3,21.91
297.2,174.8,1022.8,753.5,0,117.5,9.5,14,36.99
297.2,174.8,1022.8,753.5,0,117.5,9.5,28,47.4
297.2,174.8,1022.8,753.5,0,117.5,9.5,56,51.96
297.2,174.8,1022.8,753.5,0,117.5,9.5,100,56.74
213.7,154.8,1053.5,776.4,0,174.7,10.2,3,17.57
213.7,154.8,1053.5,776.4,0,174.7,10.2,14,33.73
213.7,154.8,1053.5,776.4,0,174.7,10.2,28,40.15
213.7,154.8,1053.5,776.4,0,174.7,10.2,56,46.64
213.7,154.8,1053.5,776.4,0,174.7,10.2,100,50.08
213.5,154.6,1052.3,775.5,0,174.2,11.7,3,17.37
213.5,154.6,1052.3,775.5,0,174.2,11.7,14,33.7
213.5,154.6,1052.3,775.5,0,174.2,11.7,28,45.94
213.5,154.6,1052.3,775.5,0,174.2,11.7,56,51.43
213.5,154.6,1052.3,775.5,0,174.2,11.7,100,59.3
277.2,160.7,1061.7,782.5,97.8,24.5,11.2,3,30.45
277.2,160.7,1061.7,782.5,97.8,24.5,11.2,14,47.71
277.2,160.7,1061.7,782.5,97.8,24.5,11.2,28,63.14
277.2,160.7,1061.7,782.5,97.8,24.5,11.2,56,66.82
277.2,160.7,1061.7,782.5,97.8,24.5,11.2,100,66.95
218.2,140.8,1075.7,792.7,54.6,123.8,11.9,3,27.42
218.2,140.8,1075.7,792.7,54.6,123.8,11.9,14,35.96
218.2,140.8,1075.7,792.7,54.6,123.8,11.9,28,55.51
218.2,140.8,1075.7,792.7,54.6,123.8,11.9,56,61.99
218.2,140.8,1075.7,792.7,54.6,123.8,11.9,100,63.53
214.9,155.6,1014.3,780.6,53.8,121.9,9.6,3,18.02
214.9,155.6,1014.3,780.6,53.8,121.9,9.6,14,38.6
214.9,155.6,1014.3,780.6,53.8,121.9,9.6,28,52.2
214.9,155.6,1014.3,780.6,53.8,121.9,9.6,56,53.96
214.9,155.6,1014.3,780.6,53.8,121.9,9.6,100,56.63
218.9,158.5,1078.7,794.9,0,124.1,11.3,3,15.34
218.9,158.5,1078.7,794.9,0,124.1,11.3,14,26.05
218.9,158.5,1078.7,794.9,0,124.1,11.3,28,30.22
218.9,158.5,1078.7,794.9,0,124.1,11.3,56,37.27
218.9,158.5,1078.7,794.9,0,124.1,11.3,100,46.23
376,214.6,1003.5,762.4,0,0,0,3,16.28
376,214.6,1003.5,762.4,0,0,0,14,25.62
376,214.6,1003.5,762.4,0,0,0,28,31.97
376,214.6,1003.5,762.4,0,0,0,56,36.3
376,214.6,1003.5,762.4,0,0,0,100,43.06
500,140,966,853,0,0,4,28,67.57
475,142,1098,641,0,59,1.9,28,57.23
315,145,1130,745,137,0,5.9,28,81.75
505,195,1030,630,0,60,0,28,64.02
451,165,1030,745,0,0,11.3,28,78.8
516,162,801,802,0,0,8.2,28,41.37
520,170,855,855,0,0,5.2,28,60.28
528,185,920,720,0,0,6.9,28,56.83
520,175,870,805,0,0,5.2,28,51.02
385,158,903,768,0,136,20,28,55.55
500.1,200,1124.4,613.2,0,0,3,28,44.13
450.1,200,1124.4,613.2,50,0,3,28,39.38
397,167,967,633,17.2,158,20.8,28,55.65
333,167,996,652,17.5,163,17.9,28,47.28
334,189,967,633,17.6,158,15.3,28,44.33
405,175,1120,695,0,0,0,28,52.3
200,190,1145,660,200,0,0,28,49.25
516,162,801,802,0,0,8.3,28,41.37
145,184,833,880,116,119,5.7,28,29.16
160,182,824,879,128,122,6.4,28,39.4
234,189,981,760,156,0,5.9,28,39.3
250,159,860,800,180,95,9.5,28,67.87
475,162,1044,662,0,0,9.5,28,58.52
285,163,1031,685,190,0,7.6,28,53.58
356,160,1061,657,119,0,9,28,59
275,162,830,765,180,120,10.4,28,76.24
500,151,1033,655,0,0,9,28,69.84
165,163.8,1005.6,900.9,0,143.6,0,3,14.4
165,175.1,1005.8,746.6,128.5,132.1,8.1,3,19.42
178,179.9,1007.3,746.8,129.8,118.6,3.6,3,20.73
167.4,175.5,1006.3,746.6,129.9,128.6,7.8,3,14.94
172.4,156.8,1006.3,856.4,13.6,172.4,4.1,3,21.29
173.5,164.8,1006.2,793.5,50.1,173.5,6.5,3,23.08
167,164,1007.3,770.1,75.4,167,7.9,3,15.52
173.8,172.3,1007.2,746.6,93.4,159.9,9.7,3,15.82
190.3,166.6,1079,798.9,0,125.2,9.9,3,12.55
250,191.8,948.9,857.2,0,95.7,5.3,3,8.49
213.5,159.2,1043.6,771.9,0,174.2,11.7,3,15.61
194.7,170.2,998,901.8,0,100.5,7.5,3,12.18
251.4,192.9,1043.6,754.3,0,118.3,5.8,3,11.98
165,163.8,1005.6,900.9,0,143.6,0,14,16.88
165,175.1,1005.8,746.6,128.5,132.1,8.1,14,33.09
178,179.9,1007.3,746.8,129.8,118.6,3.6,14,34.24
167.4,175.5,1006.3,746.6,129.9,128.6,7.8,14,31.81
172.4,156.8,1006.3,856.4,13.6,172.4,4.1,14,29.75
173.5,164.8,1006.2,793.5,50.1,173.5,6.5,14,33.01
167,164,1007.3,770.1,75.4,167,7.9,14,32.9
173.8,172.3,1007.2,746.6,93.4,159.9,9.7,14,29.55
190.3,166.6,1079,798.9,0,125.2,9.9,14,19.42
250,191.8,948.9,857.2,0,95.7,5.3,14,24.66
213.5,159.2,1043.6,771.9,0,174.2,11.7,14,29.59
194.7,170.2,998,901.8,0,100.5,7.5,14,24.28
251.4,192.9,1043.6,754.3,0,118.3,5.8,14,20.73
165,163.8,1005.6,900.9,0,143.6,0,28,26.2
165,175.1,1005.8,746.6,128.5,132.1,8.1,28,46.39
178,179.9,1007.3,746.8,129.8,118.6,3.6,28,39.16
167.4,175.5,1006.3,746.6,129.9,128.6,7.8,28,41.2
172.4,156.8,1006.3,856.4,13.6,172.4,4.1,28,33.69
173.5,164.8,1006.2,793.5,50.1,173.5,6.5,28,38.2
167,164,1007.3,770.1,75.4,167,7.9,28,41.41
173.8,172.3,1007.2,746.6,93.4,159.9,9.7,28,37.81
190.3,166.6,1079,798.9,0,125.2,9.9,28,24.85
250,191.8,948.9,857.2,0,95.7,5.3,28,27.22
213.5,159.2,1043.6,771.9,0,174.2,11.7,28,44.64
194.7,170.2,998,901.8,0,100.5,7.5,28,37.27
251.4,192.9,1043.6,754.3,0,118.3,5.8,28,33.27
165,163.8,1005.6,900.9,0,143.6,0,56,36.56
165,175.1,1005.8,746.6,128.5,132.1,8.1,56,53.72
178,179.9,1007.3,746.8,129.8,118.6,3.6,56,48.59
167.4,175.5,1006.3,746.6,129.9,128.6,7.8,56,51.72
172.4,156.8,1006.3,856.4,13.6,172.4,4.1,56,35.85
173.5,164.8,1006.2,793.5,50.1,173.5,6.5,56,53.77
167,164,1007.3,770.1,75.4,167,7.9,56,53.46
173.8,172.3,1007.2,746.6,93.4,159.9,9.7,56,48.99
190.3,166.6,1079,798.9,0,125.2,9.9,56,31.72
250,191.8,948.9,857.2,0,95.7,5.3,56,39.64
213.5,159.2,1043.6,771.9,0,174.2,11.7,56,51.26
194.7,170.2,998,901.8,0,100.5,7.5,56,43.39
251.4,192.9,1043.6,754.3,0,118.3,5.8,56,39.27
165,163.8,1005.6,900.9,0,143.6,0,100,37.96
165,175.1,1005.8,746.6,128.5,132.1,8.1,100,55.02
178,179.9,1007.3,746.8,129.8,118.6,3.6,100,49.99
167.4,175.5,1006.3,746.6,129.9,128.6,7.8,100,53.66
172.4,156.8,1006.3,856.4,13.6,172.4,4.1,100,37.68
173.5,164.8,1006.2,793.5,50.1,173.5,6.5,100,56.06
167,164,1007.3,770.1,75.4,167,7.9,100,56.81
